# Oscilloscope Data

# Seconds	currentAverage	currentRawValue	currentValue	voltageValue	voltageAverage	voltageRawValue
1903.203	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1903.303	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1903.306	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1903.406	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1903.506	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1903.606	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1903.706	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1903.806	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1903.906	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1904.006	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1904.106	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1904.206	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1904.306	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1904.406	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1904.506	1.17549e-38	0	0.00812828	19.0939	1.17549e-38	0
1904.606	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1904.706	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1904.806	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1904.906	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.006	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.106	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.206	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.306	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.309	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.409	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.509	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.609	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.709	1.17549e-38	0	-0.00542412	19.27	1.17549e-38	0
1905.809	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1905.909	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.009	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.109	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.209	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.309	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.409	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.509	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.609	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.709	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.809	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1906.909	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1907.009	1.17549e-38	0	-0.00881222	18.9971	1.17549e-38	0
1907.109	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.209	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.309	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.312	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.411	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.511	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.611	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.711	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.811	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1907.911	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1908.011	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1908.111	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1908.211	1.17549e-38	0	0.0165985	19.1644	1.17549e-38	0
1908.311	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1908.411	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1908.511	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1908.611	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1908.711	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1908.811	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1908.911	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1909.011	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1909.111	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1909.211	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1909.310	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1909.410	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1909.510	1.17549e-38	0	-0.0138944	19.226	1.17549e-38	0
1909.610	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1909.710	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1909.810	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1909.910	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.010	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.110	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.210	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.310	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.410	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.510	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.610	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.710	1.17549e-38	0	0.00135208	19.226	1.17549e-38	0
1910.810	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1910.910	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.010	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.110	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.210	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.310	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.313	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.412	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.512	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.612	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.712	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.812	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1911.912	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1912.012	1.17549e-38	0	-0.0105063	19.0851	1.17549e-38	0
1912.112	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.212	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.312	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.412	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.512	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.612	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.712	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.812	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1912.912	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1913.012	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1913.112	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1913.212	1.17549e-38	0	-0.00373007	19.27	1.17549e-38	0
1913.312	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1913.315	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1913.414	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1913.514	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1913.614	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1913.714	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1913.814	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1913.914	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1914.014	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1914.114	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1914.214	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1914.314	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1914.414	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1914.514	1.17549e-38	0	0.00135208	18.9443	1.17549e-38	0
1914.614	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1914.714	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1914.814	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1914.914	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.014	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.114	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.214	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.314	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.317	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.416	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.516	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.616	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.716	1.17549e-38	0	-0.0138944	18.9531	1.17549e-38	0
1915.816	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1915.916	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.016	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.116	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.216	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.316	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.416	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.516	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.616	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.716	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.816	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1916.916	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1917.016	1.17549e-38	0	0.0165985	19.27	1.17549e-38	0
1917.116	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.216	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.316	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.319	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.418	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.518	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.618	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.718	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.818	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1917.918	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1918.018	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1918.118	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1918.218	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1918.318	1.17549e-38	0	-0.0138944	19.1115	1.17549e-38	0
1918.418	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1918.518	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1918.618	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1918.718	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1918.818	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1918.918	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.018	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.118	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.218	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.318	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.321	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.420	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.520	1.17549e-38	0	0.0165985	19.1468	1.17549e-38	0
1919.620	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1919.720	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1919.820	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1919.920	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.020	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.120	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.220	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.320	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.420	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.520	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.620	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.720	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.820	1.17549e-38	0	0.0115164	19.2436	1.17549e-38	0
1920.920	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.020	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.120	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.220	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.320	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.323	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.422	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.522	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.622	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.722	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.822	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1921.922	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1922.022	1.17549e-38	0	0.0352331	19.0587	1.17549e-38	0
1922.122	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.222	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.322	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.422	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.522	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.622	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.722	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.822	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1922.922	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
